"id","text"
"158","Hospodin je můj pastýř, nic nepostrádám"
"159","Vypravujte mezi všemi národy o Hospodinových divech"
"160","Tvá slova, Pane, jsou duch a jsou život"
"161","Ústa má budou vypávět o tvé spravedlnosti"
"162","Budu ti hrát, Hospodine, před anděly"
"163","Blaze tomu, kdo svou naději vložil do Hospodina"
"164","Hospodin je milosrdný a milostivý"
"165","Dobré je chválit Hospodina"
"166","Jděte do celého světa a hlásejte evangelium"
"167","Chci tě oslavovat, Hospodine, neboť jsi mě vysvobodil"
"168","Odpusť, Pane, co jsem zavinil hříchem"
"169","Má duše žízní po tobě, Pane, Bože můj"
"170","Ty jsi, Hospodine, mým dědičným podílem"
"171","Jásejte Bohu, všechny země"
"172","Hledjte, ubožáci, Hospodina a pookřejte v srdci"
"173","Hospodine, kdo smí prodlévat ve tvém stánku"
"174","Když jsem volal, Hospodine, vyslyšels mě"
"175","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"176","Blaze národu, který si Hospodin vyvolil za svůj majetek"
"177","Hospodine, na pomoc mi pospěš"
"178","Jděte do celého světa a hlásejte evangelium"
"179","Bože, ve své dobrotě ses postaral o chudáka"
"180","Pane, tys nám býval útočištěm od pokolení do pokolení"
"181","Vstanu a půjdu k svému Otci"
"182","Chvalte Hospodina, který povyšuje chudého"
"183","Duše má, chval Hospodina"
"184","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"185","Hospodin zjevil svou spásu před zraky pohanů"
"186","Pomoc nám přijde od Hospodina, který učinil nebe i zemi"
"187","Hle, ubožák zavolal a Hospodin slyšel"
"188","Budu velebit tvé jméno, můj Bože, Králi"
"189","Až procitnu, Hospodine, nasytím se pohledem na tebe"
"190","Přišel Hospodin, aby spravoval národy podle práva"
"191","Zaradoval jsem se, když mi řekli: ""Do domu Hospodinova půjdeme"""
"192","Veleb, duše má, Hospodina"
"193","Ty jsi, Hospodine, mým dědičným podílem"
"194","Blahoslavená jsi, Panno Maria, žes nosila Syna věčného Otce"
"195","Pán mě vysvobodil ze všech mých obav"
"196","Ústa spravedlivého mluví moudře"
"197","Má zalíbení v Hospodinově zákoně"
"198","Kdo sejí v slzách, žnout budou s jásotem"
"199","Jinoši a panny, chvalte Hospodinovo jméno"
"200","Nauč mě, Hospodine, svým příkazům"
"201","Hospodin zjevil svou spásu před zraky pohanů"
"202","Hospodin zástupů, on je král slávy"
"203","Do tvých rukou, Pane, svěřuji ducha svého"
"204","Okuste a vizte, jak je Hospodin dobrý"
"205","Hle, přicházím, Pane, přebývat ve tvé slávě"
"206","Spravedlivý bude, Pane, přebývat na tvé svaté hoře"
"207","Naše duše vyvázla jako pták z ptáčníkovy léčky"
"208","Blaze muži, který se bojí Hospodina"
"209","Ustvičně chci velebit Hospodina"
"210","Hospodinovy výroky jsou pravdivé, všechny jsou spravedlivé"
"211","Jeho potomstvo potrvá na věky"
"212","Na věky chci zpívat o Hospodinových milostech"
"213","Pane, dej zdar práci našich rukou"
"214","Všude na zemi pronikl jejich hlas"
"215","Buď veleben Hospodin nyní i na věky"
"216","Pán ho posadil vedle knížat svého lidu"
"217","Vyslyš mě, Bože, ve své veliké lásce"
"218","Na věky chci zpívat o Hospodinových milostech"
"219","Od klína mé matky byls mým ochráncem"
"220","Chválím tě, že jsem vznikl tak podivuhodně"
"221","Ustavičně chci velebit Hospodina"
"222","Pán Bůh mu dá trůn jeho otce Davida"
"223","Vypravujte mezi všemi národy o Hospodinových divech"
"224","Hospodin kraluje, je povznesen nad celou zemí"
"225","Blaze muži, který se slitovává a půjčuje"
"226","Drahocenná je v Hospodinových očích smrt jeho zbožných"
"227","Vstn, Hospodine, vejdi na místo svého odpočinku, ty i tvá vznešená archa"
"228","Po své pravici máš královnu ozdobenou ofirským zlatem"
"229","Ochraň, Pane, duši mou v pokoji u tebe"
"230","Ať tvoji zbožní, Hospodine, vypravují o slávě tvé vznešené říše"
"231","Radostí zajásám v Pánu"
"232","Nezapomínejte na Boží skutk"
"233","Zachraň mě svou slitovností, Hospodine"
"234","Blaze těm, kdo kráčejí v zákoně Hospodinově"
"235","Ty, Hospodine, vládneš nade vším"
"236","Budu ti hrát, Hospodine, před anděly"
"237","To je pokolení těch, kdo hledají tvář tvou, Hospodine"
"238","Proudy bystřin jsou k radosti Božímu městu"
"239","Hle, ženich přichází, jděte naproti Kristu Pánu"
"240","Slova tvá, Pane, jsou duch a jsou život"
"241","Zpívejte Hospodinu píseň novou, protože učinil podivuhodné věci"
"242","Radujte se, spravedliví v Hospodinu"
"243","Ty jsi čest našeho lidu"
"244","Svým andělům vydal o tobě příkaz, aby tě střežili"
"245","Pane, Bože můj, k tobě pozvedám svou duši"
"246","Pane, ukaž nám své milosrdenství a uděl nám svou spásu"
"247","Buď, Pane, při mně v mém soužení"
"248","Pán je milosrdný a záchranu poskytuje v hojné míře"
"249","Jásejte Bohu, všechny země! Aleluja"
"250","Pán je mé světlo a má spása"
"251","Chci dobrořečit Pánu v každé chvíli"
"252","Okuste a vizte, jak dobrý je Pán"
"253","Zaslechnte-li dnes jeho hlas, nezatvrzujte svá srdce"
"254","Jsme jeho lid, jsme ovce na jeho pastvě"
"255","Pán je dobrotivý a milosrdný"
"256","Bože, můj Králi, na věky chci dobrořečit tvému jménu"
"257","Radostně půjdeme do domu Pánova"
"258","Mé srdce jásá v Bohu, mém spasiteli"
"259","Pán je můj pastýř, nic mi neschází"
"260","Pane, Bože můj, k tobě pozvedám svou duši"
"261","Pán je mé světlo a má spása"
"262","Smím si vykračovat před Pánem v zemi živých"
"263","Věřím, že uvidím blaho od Hospodina v zemi živých"
"264","Budu kráčet před Hospodinem v zemi živých"
"265","Hospodin je milosrdný a milostivý"
"266","Země je plná Hospodinovy milosti"
"267","Hospodin je milosrdný a milostivý"
"268","Hospodinova láska od věků pro ty, kdo se ho bojí"
